LineId,Date,Time,Level,Component,Content,EventId
121818,81110,81820,INFO,dfs.DataNode$DataXceiver,10.251.122.65:50010 Served block blk_-1183056419321993180 to /10.251.122.65,E3
383403,81110,230330,INFO,dfs.DataNode$PacketResponder,Received block blk_-2417507251044749003 of size 67108864 from /10.251.111.228,E9
709293,81111,101450,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-109432166452340406 terminating,E11
608068,81111,75201,INFO,dfs.DataNode$PacketResponder,Received block blk_1078994348303379868 of size 67108864 from /10.251.215.70,E9
436207,81111,33259,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-688713522760438550 terminating,E11
475614,81111,44319,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_102919508031355352 is added to invalidSet of 10.250.7.146:50010,E23
443503,81111,34829,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_517475697270448780 size 67108864,E26
127397,81110,92846,WARN,dfs.DataNode$DataXceiver,10.251.214.225:50010:Got exception while serving blk_6340794555238366348 to /10.251.73.220:,E4
418100,81111,25836,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.188:50010 is added to blk_-9112373537002775077 size 67108864,E26
250016,81110,144108,INFO,dfs.DataNode$PacketResponder,Received block blk_8297453060070867286 of size 67108864 from /10.251.215.70,E9
145638,81110,103134,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-5379658314562509308 is added to invalidSet of 10.251.66.192:50010,E23
150158,81110,103158,INFO,dfs.FSDataset,Deleting block blk_-8609616959574106749 file /mnt/hadoop/dfs/data/current/subdir32/blk_-8609616959574106749,E21
244050,81110,142739,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand2/_temporary/_task_200811101024_0003_r_000360_0/part-00360. blk_-6176306630698599383,E22
120092,81110,81045,INFO,dfs.DataNode$DataXceiver,10.251.123.33:50010 Served block blk_4859229220152216225 to /10.251.215.50,E3
666265,81111,90131,INFO,dfs.FSDataset,Deleting block blk_-4372689937546369075 file /mnt/hadoop/dfs/data/current/subdir18/blk_-4372689937546369075,E21
678823,81111,91655,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8619610371141993518 src: /10.251.106.37:50309 dest: /10.251.106.37:50010,E5
327694,81110,213937,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5912952335713072487 src: /10.250.19.227:53678 dest: /10.250.19.227:50010,E5
209865,81110,115052,INFO,dfs.DataNode$PacketResponder,Received block blk_5994097713553807423 of size 67108864 from /10.250.11.194,E9
463094,81111,42710,INFO,dfs.DataNode$PacketResponder,Received block blk_2748697130343862366 of size 67108864 from /10.251.123.195,E9
356676,81110,221110,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/randtxt3/_temporary/_task_200811101024_0007_m_000292_0/part-00292. blk_-1229850545710161230,E22
255487,81110,145058,INFO,dfs.DataNode$PacketResponder,Received block blk_-3322630765069963285 of size 67108864 from /10.251.42.16,E9
98727,81110,15800,INFO,dfs.DataNode$DataXceiver,Receiving block blk_6757563697092578001 src: /10.250.11.53:42379 dest: /10.250.11.53:50010,E5
611381,81111,75622,INFO,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-2935515970582549316 is added to invalidSet of 10.251.198.33:50010,E23
494759,81111,44739,INFO,dfs.FSDataset,Deleting block blk_782533081868732047 file /mnt/hadoop/dfs/data/current/subdir29/blk_782533081868732047,E21
549081,81111,62309,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/randtxt5/_temporary/_task_200811101024_0012_m_001406_0/part-01406. blk_4004782751070220621,E22
627642,81111,80517,INFO,dfs.DataNode$PacketResponder,Received block blk_483131168073477398 of size 67108864 from /10.251.198.196,E9
688635,81111,93511,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.180:50010 is added to blk_-5126900068590132993 size 67108864,E26
670075,81111,90216,INFO,dfs.FSDataset,Deleting block blk_-41832892259375357 file /mnt/hadoop/dfs/data/current/subdir35/blk_-41832892259375357,E21
732320,81111,105908,INFO,dfs.DataNode$PacketResponder,Received block blk_-2580445840874020268 of size 67108864 from /10.251.110.160,E9
401516,81111,23207,INFO,dfs.FSDataset,Deleting block blk_-1277338951050337841 file /mnt/hadoop/dfs/data/current/subdir13/blk_-1277338951050337841,E21
634978,81111,81829,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1511270143236078365 terminating,E11
19044,81109,211225,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_6067661306899207551 size 67108864,E26
348630,81110,220745,INFO,dfs.FSDataset,Deleting block blk_-8991857749149821648 file /mnt/hadoop/dfs/data/current/subdir3/blk_-8991857749149821648,E21
152443,81110,103412,INFO,dfs.FSDataset,Deleting block blk_-7264219856618117362 file /mnt/hadoop/dfs/data/current/subdir31/blk_-7264219856618117362,E21
400292,81111,23125,INFO,dfs.FSDataset,Deleting block blk_-7799471092932492572 file /mnt/hadoop/dfs/data/current/subdir57/blk_-7799471092932492572,E21
